QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_
20151,2954335,2,0,1,200,D,1,D,11,D
20151,2955933,8,101,1,200,D,1,D,13,E
20151,2955933,8,201,1,200,D,1,D,7,E
20151,2955933,8,401,1,200,D,1,D,13,E
20151,2988832,4,0,1,200,D,12,D,80,D
20151,2989032,4,0,1,200,D,1,D,48,D
20151,2989032,5,0,1,200,D,1,D,11,D
20151,2989132,6,1,1,200,D,12,D,13,E
20151,2989132,7,1,1,200,D,1,D,9,E
20151,2989483,5,0,1,200,D,12,D,40,D
20151,2989552,4,0,1,200,D,1,D,106,D
20151,2989782,10,0,2,200,D,11,D,.,H
20151,2989782,10,200,2,200,D,11,D,57,E
20151,2989782,10,400,2,200,D,11,D,43,E
20151,2989982,1,1,1,200,D,12,D,17,E
20151,2990272,2,202,1,200,D,12,D,57,E
20151,2990382,1,0,1,200,D,1,D,11,D
20151,2990382,3,0,1,200,D,1,D,11,D
20151,2990742,2,0,1,200,D,12,D,43,D
20151,2990902,1,0,1,200,D,12,D,20,D
20151,2990962,1,103,1,200,D,12,D,17,E
20151,2991464,5,2,1,200,D,1,D,23,E
20151,2991492,3,104,1,200,D,12,D,33,E
20151,2991492,3,206,1,200,D,12,D,52,E
20151,2991542,2,3,1,200,D,11,D,62,E
20151,2991542,3,3,1,200,D,12,D,62,E
20151,2991542,4,3,1,200,D,1,D,62,E
20151,2991582,1,2,1,200,D,12,D,314,E
20151,2991852,4,0,1,200,D,12,D,100,D
20151,2992032,1,1,1,200,D,11,D,2,E
20151,2992472,12,0,1,200,D,12,D,16,D
20151,2992782,4,0,1,200,D,12,D,30,D
20151,2993032,17,3,2,200,D,11,D,28,E
20151,2993112,5,2,1,200,D,12,D,83,E
20151,2993493,5,0,2,200,D,11,D,32,D
20151,2993762,3,2,1,200,D,11,D,10,E
20151,2993832,3,102,1,200,D,11,D,26,E
20151,2993892,2,3,1,200,D,12,D,112,E
20151,2993952,1,6,1,200,D,11,D,55,G
20151,2993962,4,104,1,200,D,12,D,8,E
20151,2993962,4,204,1,200,D,12,D,35,E
20151,2994002,4,2,1,200,D,12,D,120,E
20151,2994322,3,0,1,200,D,12,D,.,H
20151,2994322,3,100,1,200,D,12,D,33,E
20151,2994322,3,200,1,200,D,12,D,29,E
20151,2994322,3,400,1,200,D,12,D,21,E
20151,2994322,3,500,1,200,D,12,D,24,E
20151,2995122,2,2,2,200,D,11,D,61,E
20151,2995312,9,0,1,200,D,1,D,.,H
20151,2995312,9,200,1,200,D,1,D,61,E
20151,2995312,9,400,1,200,D,1,D,45,E
20151,2995682,4,103,1,200,D,11,D,5,E
20151,2995682,4,203,1,200,D,11,D,27,E
20151,2995682,4,402,1,200,D,11,D,43,E
20151,2996082,5,0,1,200,D,12,D,53,D
20151,2996135,1,203,1,200,D,12,D,34,E
20151,2996162,8,3,1,200,D,1,D,12,E
20151,2996702,4,2,2,200,D,11,D,39,E
20151,2997122,5,0,1,200,D,1,D,30,D
20151,2997132,17,0,1,200,D,11,D,18,F
20151,2997132,18,0,1,200,D,12,D,30,F
20151,2997212,1,0,1,200,D,11,D,16,D
20151,2997512,4,3,2,200,D,11,D,12,E
20151,2997622,9,0,1,200,D,12,D,101,D
20151,2997775,9,0,1,200,D,12,D,100,D
20151,2998465,5,0,1,200,D,1,D,12,D
20151,2998752,1,0,1,200,D,12,D,50,D
20151,2998842,3,0,2,200,D,11,D,50,D
20151,2999072,3,102,1,200,D,12,D,116,E
20151,2999072,3,203,1,200,D,12,D,49,E
20151,2999172,1,1,1,200,D,12,D,26,E
20151,2999502,3,0,1,200,D,12,D,106,D
20151,2999702,1,3,1,200,D,11,D,69,E
20151,3000032,4,0,1,200,D,12,D,9,D
20151,3000322,2,1,1,200,D,1,D,45,E
20151,3000622,11,0,1,200,D,1,D,5,D
20151,3000912,8,0,1,200,D,2,D,40,D
20151,3000982,3,201,1,200,D,2,D,37,E
20151,3000982,3,302,1,200,D,2,D,9,E
20151,3001032,9,2,2,200,D,12,D,54,E
20151,3001232,3,2,1,200,D,12,D,12,G
20151,3001232,4,3,1,200,D,1,D,26,G
20151,3001232,5,2,1,200,D,2,D,4,G
20151,3001272,3,2,1,200,D,1,D,53,E
20151,3001362,4,0,1,200,D,12,D,.,H
20151,3001362,4,300,1,200,D,12,D,138,E
20151,3001362,4,400,1,200,D,12,D,62,E
20151,3001732,2,5,1,200,D,12,D,60,E
20151,3001732,3,7,1,200,D,12,D,32,E
20151,3001952,3,1,1,200,D,12,D,107,E
20151,3002102,6,0,1,200,D,2,D,100,D
20151,3002162,1,0,1,200,D,2,D,6,D
20151,3002212,2,204,1,200,D,1,D,16,E
20151,3002612,2,0,1,200,D,2,D,27,D
20151,3002762,2,0,1,200,D,1,D,20,D
20151,3003002,1,2,2,200,D,12,D,26,E
20151,3003062,2,0,2,200,D,12,D,70,D
20151,3003272,9,0,1,200,D,12,D,16,D
20151,3003442,1,103,1,200,D,2,D,7,E
20151,3003732,7,0,1,200,D,2,D,68,D
20151,3003752,2,103,1,200,D,12,D,7,E
20151,3003752,2,205,1,200,D,12,D,5,E
20151,3003822,1,2,1,200,D,12,D,37,E
20151,3004055,4,0,1,200,D,2,D,21,D
20151,3004062,2,103,2,200,D,12,D,6,E
20151,3004062,2,203,2,200,D,12,D,9,E
20151,3004452,4,2,1,200,D,1,D,45,E
20151,3004482,1,2,1,200,D,12,D,7,G
20151,3004712,1,102,1,200,D,12,D,8,E
20151,3004712,1,202,1,200,D,12,D,30,E
20151,3004722,1,2,1,200,D,1,D,20,E
20151,3005102,1,0,1,200,D,12,D,69,D
20151,3005592,3,0,1,200,D,1,D,65,D
20151,3005852,2,0,1,200,D,1,D,20,D
20151,3006542,4,103,2,200,D,12,D,13,E
20151,3006542,4,402,2,200,D,12,D,3,E
20151,3006802,10,0,1,200,D,1,D,20,D
20151,3006802,11,0,1,200,D,2,D,15,D
